"codigo_hs","product_name_en","nombre_producto_es","seccion_atlas","seccion_2_digitos","indice_de_complejidad_de_producto_icp","ranking_de_complejidad_producto","tendencia_mercado","potencial_exportador","fob_santiago_del_estero","vcr_santiago_del_estero","compatibilidad_con_santiago_del_estero","valor_estrategico_para_santiago_del_estero","indice_recuperacion_de_posiciones_santiago_del_estero","indice_oportunidades_cercanas_santiago_del_estero","indice_objetivos_factibles_santiago_del_estero","indice_apuestas_ambiciosas_santiago_del_estero","top_20_criterios_santiago_del_estero","empleo","empresas","tasa_fem"
"120922","Seed, clover","Semilla de trebol","Agricultura"," II Productos vegetales","0.16423","2207","Creció / Se mantuvo","-3090729.59290","40149.43359","4.98277","1.66290","0.37799","0","","","","","1667","326","0.11081"
"130190","Natural gum, resin","Las demas gomas, resinas, gomorresinas y balsamos","Agricultura"," II Productos vegetales","-2.26307","4624","Creció / Se mantuvo","-3992599.25137","36463.06502","1.85448","3.53836","-1.41022","0","","","","","s.d.","s.d.","0.11790"
"151912","Oleic acid","Ácido oleico","Agricultura"," III Grasas y aceites animales o vegetales y sus derivados","-0.11916","2625","Creció / Creció","-8103954.28415","35388.41667","2.44464","1.74577","-1.68545","0","","","","","s.d.","s.d.","0.14976"
"380290","Activated natural mineral products, nes","Las demas materias minerales naturales","Químicos"," VI Productos químicos y aliados","-0.62645","3361","Decreció / Decreció","1869248.26776","34729.10807","0.95294","0.46938","0.52752","0","0.37142","0.32535","0.22158","Trayectoria productiva","s.d.","s.d.","0.14976"
"140190","Vegetable materials nes for plaiting","Las demas materias vegetales utilizadas en cesteria","Agricultura"," II Productos vegetales","-1.36092","4191","Se mantuvo / Se mantuvo","-1361296.35246","34060.98893","12.12010","1.83690","-0.25326","0","","","","","s.d.","s.d.","0.11790"
"293500","Sulphonamides","Sulfonamidas","Químicos"," VI Productos químicos y aliados","1.11147","644","Decreció mucho / Decreció mucho","49071542.03279","33991.71712","0.07537","-0.99227","-0.84719","0","-0.75288","-0.62593","-0.40105","","14","11","0.34344"
"230890","Vegetable wastes for animal feed","Las demas materias, desperdicios, residuos y subproductos veg. p. alim","Agricultura"," IV Alimentos preparados, bebidas y tabaco","-0.92127","3723","Decreció / Decreció","-230375616.26503","29704.03385","0.56911","2.80605","-0.52210","0","1.76769","1.08210","0.37656","Trayectoria productiva","98","6","0.26995"
"850422","Liquid dielectric transformers 650-10,000KVA","Transformadores de dielectrico liquido, potencia superior 650 kva. inf","Electrónica"," XVI Aparatos mecánicos y eléctricos, sus partes y accesorios","-0.27183","2869","Creció / Decreció","6533472.56284","28650.09375","0.34258","0.54407","0.29269","0","0.41221","0.33370","0.22697","Trayectoria productiva","s.d.","s.d.","0.14716"
"120720","Cotton seeds","Semilla de algodon, incluso quebrantada.","Agricultura"," II Productos vegetales","-1.90193","4516","Decreció / Decreció","-717974.39891","28304.41907","2.07464","5.50404","-2.00733","0","","","","","1667","326","0.11081"
"120810","Soya bean flour or meal","Harina de habas de soja.","Agricultura"," II Productos vegetales","-1.16428","3998","Decreció mucho / Decreció","1169880.12842","28075.92281","0.45611","2.43229","-0.62538","0","1.46110","0.82262","0.15720","Trayectoria productiva","218","8","0.15062"
"71390","Leguminous vegetables, dried","Las demas legumbres secas","Agricultura"," II Productos vegetales","-2.46280","4644","Decreció / Decreció","946546.78142","26186.64225","1.41922","3.90830","-1.68932","0","","","","","1667","326","0.11081"
"251200","Siliceous fossil meals","Harinas siliceas fosiles y otras tierras siliceas analogas de densidad","Minerales"," V Productos minerales","-0.14780","2677","Decreció / Decreció","-2617286.09290","24727.60970","2.67966","0.70375","0.52996","0","","","","","180","6","0.10212"
"440320","Logs, coniferous","Las demas maderas en bruto de coniferas","Agricultura"," IX Productos de madera, carbón de madera, o corcho. Fabricaciones de paja u otros materiales trenzados","0.58979","1458","Creció / Decreció","45168331.86885","23649.52507","0.05751","1.00746","-0.10855","0","0.74249","0.55420","0.40084","","s.d.","s.d.","0.11790"
"841199","Gas turbine engine, not turbo-jet, parts","Las demas turbinas de gas, partes y piezas","Maquinaria"," XVI Aparatos mecánicos y eléctricos, sus partes y accesorios","1.39275","319","Decreció mucho / Decreció mucho","133381812.90437","21903.40690","0.02183","-0.19353","1.44020","0","0.29184","0.61622","0.93822","","0","0","0.12799"
"410422","Bovine leather, pre-tanned","Cueros y pieles, de bovino, precurtidos de otra forma.","Agricultura"," VIII Pieles, cueros, peletería. Sillería y arnés. Artículos de viaje. Artículos de tripa animal","-1.07986","3917","Creció mucho / Creció mucho","-51670964.69126","21692.86618","0.06987","2.81174","-0.81479","0","1.69727","0.95872","0.20690","","s.d.","s.d.","0.06157"
"121190","Plants, for pharmacy, insecticide","Las demas plantas, partes de plantas","Agricultura"," II Productos vegetales","-1.98715","4543","Creció / Decreció","10401440.21585","21250.96082","0.15738","2.16061","-1.30373","0","1.05296","0.32592","-0.43529","","1667","326","0.11081"
