"codigo_hs","product_name_en","nombre_producto_es","seccion_atlas","seccion_2_digitos","indice_de_complejidad_de_producto_icp","ranking_de_complejidad_producto","tendencia_mercado","potencial_exportador","fob_la_rioja","vcr_la_rioja","compatibilidad_con_la_rioja","valor_estrategico_para_la_rioja","indice_recuperacion_de_posiciones_la_rioja","indice_oportunidades_cercanas_la_rioja","indice_objetivos_factibles_la_rioja","indice_apuestas_ambiciosas_la_rioja","top_20_criterios_la_rioja","empleo","empresas","tasa_fem"
"841182","Gas turbine engine, nes >5000 kW","Las demas turbinas de gas de potencia superior a 5.000 kw.","Maquinaria"," XVI Aparatos mecánicos y eléctricos, sus partes y accesorios","0.41630","1750","Decreció mucho / Decreció mucho","38333603.46995","1829256.50000","20.06303","0.22045","0.27859","0","","","","","s.d.","s.d.","0.12799"
"151211","Sunflower-seed or safflower oil, crude","Aceite de girasol o de cartamo, y sus fracciones en bruto","Agricultura"," III Grasas y aceites animales o vegetales y sus derivados","-1.05281","3885","Creció mucho / Creció mucho","-349663214.77049","1706054.33333","16.89952","2.49981","-1.39023","0","","","","","518","9","0.15062"
"410439","Bovine leather, nes","Los demas cueros y pieles de bovino y equino, apergaminados o preparad","Agricultura"," VIII Pieles, cueros, peletería. Sillería y arnés. Artículos de viaje. Artículos de tripa animal","-1.08875","3929","Decreció mucho / Decreció mucho","-89981811.74590","1658005.60116","39.62371","2.16088","-0.33768","0","","","","","s.d.","s.d.","0.06157"
"732690","Articles of iron/steel, nes","Las demas manufacturas de hierro o acero","Metales"," XV Metales comunes y sus manufacturas","0.79542","1120","Creció mucho / Creció mucho","185759811.15027","851193.31250","1.49098","0.11992","1.91895","0","","","","","40","6","0.11287"
"850213","Generating sets, diesel, >375kVA","Grupos electrogeno con motor de embolo de potencia superior a 375 kva","Electrónica"," XVI Aparatos mecánicos y eléctricos, sus partes y accesorios","-0.51989","3224","Decreció mucho / Decreció mucho","15143789.68033","717026.07292","11.25572","0.17575","0.60194","0","","","","","s.d.","s.d.","0.14716"
"520512","Cotton yarn >85%, sing uncomb 714-232","Hilados sencillos de fibras sin peinar , de titulo inferior a 714,29 d","Textiles"," XI Textiles y artículos textiles","-2.13784","4587","Decreció / Decreció","24161540.46995","575589.99479","11.04953","1.96735","-1.40058","0","","","","","1772","6","0.11748"
"520523","Cotton yarn >85%, sing comb 232-192","Hilados sencillos de fibras peinadas de algodon de titulo inferior a 232","Textiles"," XI Textiles y artículos textiles","-1.61520","4375","Creció / Decreció","9515638.85246","490318.09896","21.22075","1.57269","-0.98435","0","","","","","1772","6","0.11748"
"391732","Flexible plastic tube, no fitting","Los demas tubos flexibles de plastico, sin reforzar ni combinar con ot","Químicos"," VII Plásticos, caucho, y sus manufacturas","0.68578","1303","Creció mucho / Creció mucho","-13586626.86885","436897.67007","7.36733","0.46217","1.04743","0","","","","","255","8","0.12832"
"180610","Cocoa powder, sweetened","Cacao en polvo, azucarado o edulcorado de otro modo","Agricultura"," IV Alimentos preparados, bebidas y tabaco","-0.40235","3066","Decreció / Decreció","2004893.31421","369790.37500","61.33197","0.75275","-0.13098","0","","","","","s.d.","s.d.","0.28699"
"121490","Forage products, roots","Los demas productos forrajeros similares","Agricultura"," II Productos vegetales","-1.02607","3849","Creció mucho / Creció","3420930.08197","364764.47396","10.49957","2.23604","-0.64374","0","","","","","2192","62","0.11081"
"80231","Walnuts, in shell","Nueces de nogal con cascara frescas o secas","Agricultura"," II Productos vegetales","-0.83964","3619","Creció mucho / Creció","-3288973.30874","359969.98958","20.13545","2.58016","-1.20035","0","","","","","110","17","0.17684"
"880240","Fixed wing aircraft, >15,000kg","Aviones y demas vehiculos aereos, de peso en vacio, superior a 15000 k","Vehículos"," XVII Vehículos, aviones, buques y equipos de transporte asociados","0.79106","1123","Decreció mucho / Decreció mucho","820537893.81421","352884.30208","0.18962","-0.46253","-0.45160","0","-0.33499","-0.20908","-0.14422","","0","0","0.15363"
"520511","Cotton yarn >85%, sing uncomb >714","Hilados sencillos de fibras sin peinar, de titulo superior o igual a 714","Textiles"," XI Textiles y artículos textiles","-1.61330","4374","Creció / Decreció","2231396.56831","352352.63021","53.32599","1.70348","-0.40774","0","","","","","1772","6","0.11748"
"120799","Oil seeds & oleaginous fruits, nes","Las demas semillas incluso quebrantados.","Agricultura"," II Productos vegetales","-1.25917","4090","Creció / Decreció","-7124997.90984","344711.98943","21.20604","1.92560","-0.53756","0","","","","","2192","62","0.11081"
"392350","Plastic closures","Tapones, tapas, capsulas y demas dispositivos de cierre.","Químicos"," VII Plásticos, caucho, y sus manufacturas","-0.16895","2717","Creció mucho / Creció mucho","35141382.03552","305779.08333","2.72278","1.05547","0.88157","0","","","","","255","8","0.12832"
"570310","Carpets, wool/hair, tufted","Alfombras y demas revestimientos para el suelo de lana o de pelo fino.","Textiles"," XI Textiles y artículos textiles","-0.10824","2612","Decreció / Decreció","2914032.82240","304540.60677","37.21418","0.83569","-0.28888","0","","","","","s.d.","s.d.","0.20700"
"630222","Bed linen, of manmade fibres, printed","Las demas ropas de cama, estampadas de fibras sinteticas o artificiale","Textiles"," XI Textiles y artículos textiles","-1.68254","4413","Decreció / Decreció","7206401.57650","296962.83333","19.28786","1.35132","-1.27352","0","","","","","s.d.","s.d.","0.22611"
"630231","Bed linen, of cotton, nes","Las demas ropas de cama, de algodon","Textiles"," XI Textiles y artículos textiles","-2.04867","4565","Decreció / Decreció","21743238.57650","262615.96875","5.31497","1.61639","-0.91031","0","","","","","s.d.","s.d.","0.22611"
"392010","Plastic sheet, ethylene","Placas, hojas, peliculas, bandas y laminas de polimeros de etileno, no","Químicos"," VII Plásticos, caucho, y sus manufacturas","-0.12567","2639","Creció mucho / Creció","38203316.17213","248367.08333","1.14791","1.03776","0.66346","0","","","","","255","8","0.12832"
"120991","Seed, vegetable, nes","Semillas de legumbres y hortalizas,","Agricultura"," II Productos vegetales","-0.62468","3357","Creció mucho / Creció mucho","-985039.62842","247896.53125","3.77270","2.14662","-0.14815","0","","","","","33","5","0.19753"
"940490","Articles of bedding nes","Articulos de cama (incluye: almohadas, cojines, edredones, etc.)","Textiles"," XX Artículos varios fabricados","-0.55055","3255","Creció mucho / Creció mucho","63285136.49454","224976.68750","1.53180","0.80300","-0.19021","0","","","","","s.d.","s.d.","0.22611"
"120500","Rape or colza seeds","Semilla de navo o de colza, incluso quebrantada.","Agricultura"," II Productos vegetales","0.07683","2332","Decreció mucho / Decreció mucho","61295888.30055","223663.36344","1.60536","1.19800","-0.12912","0","","","","","2192","62","0.11081"
"842230","Machinery to fill, close, aerate bottle/container","Maquinas y aparatos para llenar, cerrar, capsular o etiquetar botellas","Maquinaria"," XVI Aparatos mecánicos y eléctricos, sus partes y accesorios","1.33340","381","Creció mucho / Creció mucho","33421459.19672","192191.09118","1.57563","-0.86122","0.34121","0","","","","","s.d.","s.d.","0.18814"
"120925","Seed, rye grass, for sowing","Semilla forrajera de ballico, para siembra.","Agricultura"," II Productos vegetales","0.79607","1116","Creció / Creció","-6993980.48087","167447.81380","29.50343","0.70842","0.43154","0","","","","","2192","62","0.11081"
"630232","Bed linen, of manmade fibres, nes","Las demas ropas de cama, de fibras sinteticas o artificiales","Textiles"," XI Textiles y artículos textiles","-1.54412","4329","Decreció / Decreció","11616455.31421","151411.71875","6.50725","1.32473","-1.09061","0","","","","","s.d.","s.d.","0.22611"
"220410","Grape wines, sparkling","Vino espumoso","Agricultura"," IV Alimentos preparados, bebidas y tabaco","0.30942","1929","Creció mucho / Creció mucho","35618420.82514","145385.47705","1.48047","0.93276","-0.75818","0","","","","","728","16","0.21105"
"120929","Seed, forage plants, nes","Semillas de forrajeras","Agricultura"," II Productos vegetales","-0.95907","3767","Creció / Decreció","-3807421.63661","144564.22917","17.80695","2.58319","-0.39974","0","","","","","2192","62","0.11081"
"847989","Machines & mechanical appliances nes","Las demas maquinas y aparatos con una funcion propia","Maquinaria"," XVI Aparatos mecánicos y eléctricos, sus partes y accesorios","2.23017","14","Creció mucho / Creció mucho","340884086.84426","143195.14778","0.15041","-1.57027","0.59170","0","-0.75783","-0.26969","0.35273","","s.d.","s.d.","0.11542"
"392390","Plastic goods for packing","Los demas articulos para el transporte o envasado de plastico.","Químicos"," VII Plásticos, caucho, y sus manufacturas","0.13120","2259","Creció mucho / Creció mucho","28706523.95628","142612.34115","1.27253","0.97508","0.84891","0","","","","","255","8","0.12832"
"250700","Kaolin","Caolin y demas arcillas caolinicas, incluso calcinadas.","Minerales"," V Productos minerales","-0.34413","2974","Decreció / Decreció","9356087.66120","119595.82764","5.27156","0.84725","-0.40569","0","","","","","s.d.","s.d.","0.08673"
"300420","Antibiotics, doses, nes","Medicamentos que contengan otros antibioticos.","Químicos"," VI Productos químicos y aliados","0.06140","2357","Creció mucho / Creció","40979066.37158","110778.31564","0.58009","0.81365","0.67291","0","0.71028","0.62801","0.56225","","170","5","0.34344"
"70190","Potatoes","Las demas papas frescas o refrigeradas","Agricultura"," II Productos vegetales","-1.13315","3967","Creció mucho / Creció mucho","14749799.37978","105147.33333","2.18005","2.01302","-0.21597","0","","","","","2192","62","0.11081"
"70990","Vegetables, nes","Las demas hortalizas frescas o refrigerdas","Agricultura"," II Productos vegetales","-1.64338","4391","Creció mucho / Creció","21348487.03279","102162.25251","1.67643","2.09625","-0.60642","0","","","","","33","5","0.19753"
"120740","Sesamum seeds","Semilla de sesamo (ajonjoli), incluso quebrantada.","Agricultura"," II Productos vegetales","-2.74887","4659","Decreció / Decreció","11578694.30874","94837.44466","2.92294","3.13843","-1.98817","0","","","","","2192","62","0.11081"
"761100","Aluminum tanks, >300L","Depositos, cisternas, cubas y recipientes similares para cualquier mat","Metales"," XV Metales comunes y sus manufacturas","0.52149","1589","Se mantuvo / Decreció","1340012.96448","2707.02222","0.95834","0.39591","1.42542","0","0.61437","0.67840","0.89058","Trayectoria productiva","s.d.","s.d.","0.07363"
"80232","Walnuts, shelled","Nueces de nogal sin cascara, frescas o secas","Agricultura"," II Productos vegetales","-0.94453","3746","Decreció / Decreció","6461217.51639","89953.47396","3.64779","2.61036","-1.39741","0","","","","","110","17","0.17684"
"430219","Tanned furs, whole, nes","Las demas pieles enteras, curtidas o adobadas, sin ensamblar.","Agricultura"," VIII Pieles, cueros, peletería. Sillería y arnés. Artículos de viaje. Artículos de tripa animal","-0.43039","3108","Decreció / Decreció","-12024923.67760","86494.06771","10.70126","1.44068","0.36728","0","","","","","0","0","0.33945"
"40900","Honey","Miel natural de abejas","Agricultura"," I Animales vivos; productos animales","-1.11104","3952","Decreció / Decreció","-125159617.15027","85755.86198","2.99682","2.70481","-0.43101","0","","","","","s.d.","s.d.","0.09681"
"630221","Bed linen, of cotton, printed","Las demas ropas de cama, estampadas de algodon","Textiles"," XI Textiles y artículos textiles","-1.00150","3822","Decreció mucho / Decreció mucho","13942465.86885","75683.49146","2.36036","1.11920","0.33718","0","","","","","s.d.","s.d.","0.22611"
"71120","Preserved olives","Aceitunas conservadas provisionalmente, pero todavia impropias para la","Agricultura"," II Productos vegetales","-1.13732","3970","Creció / Creció","-4228121.07377","67935.85417","41.31243","2.19566","-1.08038","0","","","","","555","13","0.26995"
"80250","Pistachios","Pistachos, frescos o secos, incluso sin cascara o mondados.","Agricultura"," II Productos vegetales","-1.30465","4136","Creció mucho / Creció","20207154.12295","67476.31771","1.52099","1.33542","-1.61357","0","","","","","110","17","0.17684"
"120922","Seed, clover","Semilla de trebol","Agricultura"," II Productos vegetales","0.16423","2207","Creció / Se mantuvo","-3090729.59290","66481.66406","30.00371","1.69972","0.38162","0","","","","","2192","62","0.11081"
"630492","Furnishing articles, of cotton, not knit","Los demas articulos de moblaje, de algodon excepto los de punto","Textiles"," XI Textiles y artículos textiles","-1.16244","3996","Creció / Creció","7112865.30601","63007.02995","4.15044","1.51316","-0.31515","0","","","","","s.d.","s.d.","0.22611"
"860900","Cargo containers, for carriage","Contenedores (incluidos los contenedores-cisterna y los contenedores-d","Vehículos"," XVII Vehículos, aviones, buques y equipos de transporte asociados","0.01728","2427","Creció mucho / Creció mucho","52728018.59290","57120.26172","0.47443","-0.52965","-0.87644","0","-0.54431","-0.50696","-0.54897","","0","0","0.06980"
"120720","Cotton seeds","Semilla de algodon, incluso quebrantada.","Agricultura"," II Productos vegetales","-1.90193","4516","Decreció / Decreció","-717974.39891","56808.37716","15.14195","3.02236","-1.97669","0","","","","","2192","62","0.11081"
"570490","Carpets, felt, > 0.3 m2","Las demas alfombras y demas revestimientos para el suelo, de fieltro,","Textiles"," XI Textiles y artículos textiles","0.61509","1427","Se mantuvo / Decreció","3159984.95082","55861.42057","7.17791","0.07405","0.50801","0","","","","","s.d.","s.d.","0.20700"
"390110","Polyethylene, < 0.94 spec gravity","Polietileno de densidad inferior a 0,94","Químicos"," VII Plásticos, caucho, y sus manufacturas","0.26621","1996","Decreció mucho / Decreció mucho","84058985.28142","54977.86214","0.16878","0.48916","0.33867","0","0.43677","0.40695","0.36570","","s.d.","s.d.","0.12871"
"120810","Soya bean flour or meal","Harina de habas de soja.","Agricultura"," II Productos vegetales","-1.16428","3998","Decreció mucho / Decreció","1169880.12842","51528.31523","3.04412","1.54126","-0.60484","0","","","","","518","9","0.15062"
"842290","Parts of washing, filling, closing machinery","Partes de maquinas y aparatos para limpiar, secar, llenar o cerrar bot","Maquinaria"," XVI Aparatos mecánicos y eléctricos, sus partes y accesorios","0.94272","896","Creció mucho / Creció","33614561.99454","48844.70768","0.52180","-0.18259","1.49516","0","0.26549","0.46191","0.85373","","s.d.","s.d.","0.18814"
"842240","Packing or wrapping machinery nes","Maquinas para empaquetar o embalar mercancias","Maquinaria"," XVI Aparatos mecánicos y eléctricos, sus partes y accesorios","0.80220","1110","Creció mucho / Creció","43243496.45082","45137.17790","0.35321","0.21592","0.59574","0","0.35051","0.42813","0.53341","","s.d.","s.d.","0.18814"
"520522","Cotton yarn >85%, sing comb 714-232","Hilados sencillos de fibras peinadas de algodon de titulo inferior a 714","Textiles"," XI Textiles y artículos textiles","-1.79586","4472","Creció / Se mantuvo","6767383.30055","44177.29688","3.11100","1.54310","-0.61795","0","","","","","1772","6","0.11748"
"71290","Vegetables, nes, dried","Las demas legumbres y hortalizas;mezclas de hortalizas y/o legumbres","Agricultura"," II Productos vegetales","-0.96550","3779","Creció / Creció","7323658.06831","43116.36199","1.84234","1.36218","0.18955","0","","","","","555","13","0.26995"
"580219","Terry, cotton, nes >30cm","Los demas tejidos con bucles para toallas, de algodon, excepto crudos.","Textiles"," XI Textiles y artículos textiles","-1.55880","4340","Decreció / Decreció","590991.55191","42526.66667","34.77124","1.40093","-0.35801","0","","","","","1772","6","0.11748"
"842790","Trucks with lifters/handlers, non-powered","Las demas carretillas, excepto autopropulsadas","Maquinaria"," XVI Aparatos mecánicos y eléctricos, sus partes y accesorios","-0.48729","3174","Creció / Creció","5555393.27869","41372.77528","2.72631","0.04606","-0.11435","0","","","","","s.d.","s.d.","0.11901"
"390190","Polymers of ethylene, nes","Los demas polimeros de etileno en formas primarias.","Químicos"," VII Plásticos, caucho, y sus manufacturas","0.15859","2215","Creció mucho / Creció mucho","39631518.45628","37053.59375","0.14381","0.66802","-0.08277","0","0.46692","0.37844","0.20281","","s.d.","s.d.","0.12871"
"760720","Foil, aluminum, backed <0.2mm","Hojas y tiras delgadas, con soporte","Metales"," XV Metales comunes y sus manufacturas","0.53460","1564","Decreció / Decreció mucho","1599655.79781","35198.58984","0.70235","0.43860","1.40917","0","0.64231","0.70044","0.89936","Trayectoria productiva","s.d.","s.d.","0.09388"
"870323","Automobiles, spark ignition, 1500-3000cc","Vehiculos automovil transporte personas de cilindrada superior a 1500","Vehículos"," XVII Vehículos, aviones, buques y equipos de transporte asociados","1.48680","251","Creció mucho / Decreció mucho","1301128034.01912","36142.16667","0.00932","-1.34443","0.29990","0","-0.73244","-0.36710","0.10333","","0","0","0.09613"
"380993","Finishing and dyes, leather industry","Aprestos y productos de acabado del tipo usado en la ind. cuero y simi","Químicos"," VI Productos químicos y aliados","0.64642","1374","Decreció / Decreció","938530.56557","5901.09245","0.93601","0.58176","0.94898","0","0.66167","0.68650","0.76318","Trayectoria productiva","s.d.","s.d.","0.26468"
"842119","Centrifuges, nes","Las demas centrifugadoras y secadoras centrifugas.","Maquinaria"," XVI Aparatos mecánicos y eléctricos, sus partes y accesorios","1.24260","483","Decreció / Decreció","8985895.74590","25057.76536","0.88440","-0.79108","0.58774","1","-0.31194","-0.03964","0.33781","Recuperación de posiciones, Trayectoria productiva","s.d.","s.d.","0.18814"
"210330","Mustard flour, meal, prepared","Harina de mostaza y mostaza preparada.","Agricultura"," IV Alimentos preparados, bebidas y tabaco","0.33235","1895","Creció / Se mantuvo","1334440.98634","34456.10225","7.53512","0.55033","0.86839","0","","","","","651","18","0.23891"
"251200","Siliceous fossil meals","Harinas siliceas fosiles y otras tierras siliceas analogas de densidad","Minerales"," V Productos minerales","-0.14780","2677","Decreció / Decreció","-2617286.09290","2148.17098","0.84654","0.74099","0.53423","0","0.61076","0.51154","0.42575","Trayectoria productiva","26","4","0.10212"
"845320","Machinery for making/repairing footwear","Maquinas y aparatos para la fabricacion o reparacion de calzado.","Maquinaria"," XVI Aparatos mecánicos y eléctricos, sus partes y accesorios","-0.11267","2619","Creció / Creció","3405730.26776","33333.33333","4.80070","0.30362","-0.32174","0","","","","","0","0","0.08919"
"841360","Rotary pumps, nes","Bombas volumetricas rotativas","Maquinaria"," XVI Aparatos mecánicos y eléctricos, sus partes y accesorios","1.43541","287","Creció mucho / Creció mucho","30803624.63115","30332.52245","0.32651","-0.69467","0.99340","0","-0.14405","0.15336","0.59748","","s.d.","s.d.","0.11700"
"300490","Medicaments, doses, nes","Los demas medicamentos preparados","Químicos"," VI Productos químicos y aliados","0.67160","1328","Creció mucho / Creció mucho","1435377117.02732","28813.74909","0.00779","0.37873","1.25015","0","0.58230","0.65516","0.84409","","170","5","0.34344"
"80221","Hazelnuts & filberts, in shell","Avellanas con cascara frescas o secas","Agricultura"," II Productos vegetales","-0.67318","3410","Decreció / Decreció","-178942.65027","26207.44922","14.94810","1.81235","-0.22214","0","","","","","110","17","0.17684"
"70200","Tomatoes","Tomates frecos o refrigerados","Agricultura"," II Productos vegetales","-1.59848","4369","Creció / Decreció mucho","60777992.09016","25259.13542","0.19965","2.01841","-0.92307","0","1.06842","0.55966","-0.20948","","33","5","0.19753"
"411100","Composition leather","Cuero artificial o regenerado a base de cuero o de fibras de cuero, en","Agricultura"," VIII Pieles, cueros, peletería. Sillería y arnés. Artículos de viaje. Artículos de tripa animal","-0.37668","3023","Creció / Creció","613365.45355","2302.84798","0.66494","0.51331","0.53285","1","0.42822","0.34020","0.29961","Recuperación de posiciones, Trayectoria productiva","s.d.","s.d.","0.06157"
"853720","Electrical control & distribution boards, >1kV","Cuadros, paneles, consolas y similares para una tension superior a 100","Electrónica"," XVI Aparatos mecánicos y eléctricos, sus partes y accesorios","-0.11597","2623","Decreció mucho / Decreció mucho","34048527.71311","24924.32914","0.27991","0.47639","1.25666","0","0.57321","0.55298","0.67942","","0","0","0.15607"
"120890","Oil seed or fruit flour or meal","Las demas harinas de semillas o de frutos oleaginosos, excepto la de m","Agricultura"," II Productos vegetales","-0.74999","3494","Decreció / Decreció","423200.80874","23852.25110","8.85772","1.86827","-0.01404","0","","","","","518","9","0.15062"
"520210","Cotton yarn waste","Desperdicios de hilados","Textiles"," XI Textiles y artículos textiles","-2.12459","4584","Decreció / Decreció","412202.74317","20638.87956","19.29862","2.07579","-0.99886","0","","","","","1772","6","0.11748"
"392690","Plastic articles, nes","Las demas manufacturas, de plastico.","Químicos"," VII Plásticos, caucho, y sus manufacturas","0.70229","1275","Creció mucho / Creció mucho","348728789.05738","20340.77958","0.02367","0.00419","1.55628","0","0.38442","0.53183","0.87715","","255","8","0.12832"
"848180","Taps, cocks, valves, appliances, nes","Los demas articulos de griferia y organos similares.","Maquinaria"," XVI Aparatos mecánicos y eléctricos, sus partes y accesorios","1.20766","535","Creció mucho / Decreció mucho","263517063.02186","20322.67058","0.02845","-0.48332","2.11630","0","0.20570","0.50478","1.10925","Apuestas ambiciosas","s.d.","s.d.","0.11700"
"121410","Lucerne (alfalfa) meal and pellets","Harina y pellets de alfalfa.","Agricultura"," II Productos vegetales","-0.46429","3139","Creció / Creció","-13303493.02186","19354.63053","3.68767","1.75799","0.06688","0","","","","","s.d.","s.d.","0.15719"
"850230","Electric generating sets, nes","Sets de generación eléctrica, otros","Electrónica"," XVI Aparatos mecánicos y eléctricos, sus partes y accesorios","1.09504","662","Decreció mucho / Decreció mucho","47213180.37158","19236.10156","0.15229","-0.13114","-0.10471","0","-0.00323","0.12071","0.18730","","s.d.","s.d.","0.14716"
"630391","Curtains, cotton, not knit","Visillos, cortinas, guardamalletas y doseles, de algodon, excepto de p","Textiles"," XI Textiles y artículos textiles","-0.82585","3604","Decreció / Decreció","2377012.72678","17418.34310","3.25910","0.57520","0.27593","0","","","","","s.d.","s.d.","0.22611"
"151410","Canola, mustard oil, crude","Aceites de nabina, de colza o de mostaza, y sus fracciones, en bruto.","Agricultura"," III Grasas y aceites animales o vegetales y sus derivados","0.24229","2044","Decreció mucho / Decreció mucho","25309079.37158","36798.12978","0.76283","0.55136","0.48392","1","0.50696","0.47268","0.44374","Recuperación de posiciones, Trayectoria productiva","518","9","0.15062"
"841199","Gas turbine engine, not turbo-jet, parts","Las demas turbinas de gas, partes y piezas","Maquinaria"," XVI Aparatos mecánicos y eléctricos, sus partes y accesorios","1.39275","319","Decreció mucho / Decreció mucho","133381812.90437","17127.45459","0.06207","-0.32424","1.44436","0","0.20118","0.46131","0.90088","","s.d.","s.d.","0.12799"
"80420","Figs","Higos frescos o secos","Agricultura"," II Productos vegetales","-0.53142","3238","Creció / Se mantuvo","2716124.48634","16979.50714","2.44284","1.08628","-0.39540","0","","","","","110","17","0.17684"
"841111","Tubo-jet engine, <25 KN","Turborreactores, de empuje inferior o igual a 25 kn.","Maquinaria"," XVI Aparatos mecánicos y eléctricos, sus partes y accesorios","0.67994","1313","Decreció / Decreció","6780246.77049","16069.00260","1.02182","0.24061","-0.66976","0","","","","","0","0","0.15363"
"600292","Knit, cotton, nes","Los demas tejidos de punto, de algodon","Textiles"," XI Textiles y artículos textiles","-1.57866","4352","Creció mucho / Creció","41010180.59290","15768.12370","0.18597","1.27401","-0.46736","1","0.64047","0.26814","-0.22277","Recuperación de posiciones","s.d.","s.d.","0.38134"
"210320","Ketchup, other tomato sauces","Salsa de tomate","Agricultura"," IV Alimentos preparados, bebidas y tabaco","-0.60384","3322","Creció / Decreció","6901407.06011","15209.99142","0.61490","1.62312","0.15141","1","1.10608","0.80980","0.40411","Recuperación de posiciones","651","18","0.23891"
"950390","Toys nes","Los demas juguetes","Maquinaria"," XX Artículos varios fabricados","-0.39595","3054","Creció mucho / Creció mucho","278406190.57650","15112.42415","0.02268","-0.22458","-0.75970","0","-0.34874","-0.39264","-0.50823","","s.d.","s.d.","0.23351"
"320610","Pigments, titanium dioxide","Pigmentos y preparaciones a base de compuestos de titanio","Químicos"," VI Productos químicos y aliados","0.93815","899","Creció mucho / Creció mucho","51466569.93169","13989.64957","0.10660","-0.77415","0.70704","0","-0.30668","-0.06139","0.32046","","s.d.","s.d.","0.14976"
"80212","Almonds, shelled","Almendras sin cascara frescas o secas","Agricultura"," II Productos vegetales","-1.09792","3936","Creció / Decreció","35295452.28689","12729.86133","0.17135","1.13566","-1.34606","0","0.41596","0.06851","-0.53951","","110","17","0.17684"
"80440","Avocados","Paltas (aguacates)","Agricultura"," II Productos vegetales","-1.28626","4113","Creció mucho / Creció mucho","44360472.35246","12188.11125","0.13813","1.81139","-1.33048","1","0.87325","0.40639","-0.37687","Recuperación de posiciones","110","17","0.17684"
"120923","Seed, fescue","Semillas de festucas","Agricultura"," II Productos vegetales","0.52690","1580","Creció / Creció","305000.79781","12045.42643","4.59756","1.68720","-0.75816","0","","","","","2192","62","0.11081"
"570500","Carpets, nes","Las demas alfombras y revestimientos para el suelo de materias textile","Textiles"," XI Textiles y artículos textiles","-0.92443","3725","Creció / Creció","10047644.86339","17153.90348","0.75155","0.33147","0.10672","0","0.16093","0.02410","-0.08364","Trayectoria productiva","s.d.","s.d.","0.20700"
