Código HS 1992,Product Name EN,Nombre Producto ES,Sección Atlas,Sección 2 dígitos,Índice de complejidad de producto (ICP),Ranking de complejidad producto,Tendencia mercado 2014-2019 (nominal / share),Potencial exportador,FOB Santa Cruz,VCR Santa Cruz,Compatibilidad con Santa Cruz,Valor estratégico para Santa Cruz,Indice Recuperacion de posiciones - Santa Cruz,Indice Oportunidades cercanas - Santa Cruz,Indice Objetivos factibles - Santa Cruz,Indice Apuestas ambiciosas - Santa Cruz,Top 20 criterios Santa Cruz,Empleo 2021,Empresas 2020,Tasa fem
10111,"Horses, pure-bred",Caballos reproductores de raza pura.,Agricultura, I Animales vivos; productos animales,-0.131425173799098,2648,Creció / Se mantuvo,4238686.86612022,0.0,0.0,1.63418481162825,-0.584648138247246,0,1.01385722311042,0.592751781357724,0.19430748782744,,1080,259,0.100504803248634
20422,"Mutton, bone-in","Los demas cortes de ovinos, sin deshuesar, frescos o refrigerados.",Agricultura, I Animales vivos; productos animales,-1.09907055269062,3938,Creció / Decreció,7565084.90710382,0.0,0.0,5.15632166024242,-2.76343151956072,0,2.94683180298849,1.44609921537136,0.0285846760977468,"Oportunidades cercanas, Objetivos factibles",520,12,0.0959626348348781
20423,"Mutton, boneless","Las demas carnes de ovinos, deshuesadas, frescas o refrigeradas.",Agricultura, I Animales vivos; productos animales,0.325352985380381,1911,Creció / Se mantuvo,3357989.32240437,0.0,0.0,5.31376666217313,-2.9889450166677,0,3.15438295872569,1.65955552305993,0.33044298749657,"Oportunidades cercanas, Objetivos factibles",520,12,0.0959626348348781
20430,"Lamb carcasses, frozen","Carne de cordero congelada, en canales o medios canales",Agricultura, I Animales vivos; productos animales,-0.930832104146423,3733,Decreció / Decreció,-2257556.56557377,2707336.1875,207.12748810336,3.87465287606965,-1.23784989924972,0,,,,,520,12,0.0959626348348781
20441,"Sheep carcasses, frozen",Las demas carnes de ovinos congelada en canales o medios canales.,Agricultura, I Animales vivos; productos animales,-1.68771451168179,4414,Decreció / Decreció,1151822.68032787,74520.890625,2.68773884456407,4.76462624894172,-2.14349257948488,0,,,,,520,12,0.0959626348348781
20442,"Mutton, bone-in, frozen","Los demas cortes (trozos) de carne de ovinos congelada,sin deshuesar",Agricultura, I Animales vivos; productos animales,-1.59564230831153,4367,Creció mucho / Creció mucho,11907148.9754098,8206558.83333333,23.5181311674421,15.4564827597327,-3.3383806153416,0,,,,,520,12,0.0959626348348781
20443,"Mutton, boneless, frozen","Las demas carnes de la especie ovina deshuesada, congelada",Agricultura, I Animales vivos; productos animales,-0.798640852840227,3558,Creció / Creció,5408708.95901639,805161.166666667,6.99289010835032,5.01675492170781,-2.12108046397426,0,,,,,520,12,0.0959626348348781
20450,Goat meat,"Carne de animales de la especie caprina, fresca, refrigerada o congela",Agricultura, I Animales vivos; productos animales,-1.76381163222042,4453,Decreció / Decreció,1941706.41530055,0.0,0.0,2.78777006738795,-1.71079900364963,0,1.43289808321959,0.530533637583539,-0.374481439481057,,520,12,0.0959626348348781
20500,Horse meat,"Carne de animales de las especies caballar, asnal o mular, fresca, ref",Agricultura, I Animales vivos; productos animales,-0.623196547651166,3355,Creció / Creció,-55253555.0901639,0.0,0.0,2.13096441457033,-0.415940053785296,0,1.34616742467706,0.826423706312638,0.296317163254926,,520,12,0.0959626348348781
20610,Bovine offal,"Despojos comestibles de animales de la especie bovina, frescos o refri",Agricultura, I Animales vivos; productos animales,-0.230607264445848,2817,Creció / Creció,5279473.59562842,0.0583481043577194,5.0128865837484e-07,1.18541865672868,-0.135514269778919,0,0.779629479309705,0.510688244274839,0.236992359506627,,520,12,0.0959626348348781
20621,"Bovine tongue, frozen","Lenguas de bovinos, congeladas.",Agricultura, I Animales vivos; productos animales,-0.57571674489425,3284,Decreció / Decreció,-19122584.7568306,2.11134958267212,4.90968958908154e-05,3.74270208229472,-1.3861324796108,0,2.28509328719472,1.29984716154944,0.355121822639991,"Oportunidades cercanas, Objetivos factibles",520,12,0.0959626348348781
20622,"Bovine livers, frozen","Higados de bovinos, congelados.",Agricultura, I Animales vivos; productos animales,-0.661661645599569,3399,Decreció / Decreció,-31033072.5054645,5.34900410970052,0.000155033821734277,2.71285907310593,-0.890021419664416,0,1.65483090268131,0.945672792830484,0.2479326716829,,520,12,0.0959626348348781
20629,"Bovine offal, frozen","Los demas despojos comestibles de bovinos, congelados.",Agricultura, I Animales vivos; productos animales,-0.815580937811082,3582,Creció mucho / Creció,-97090577.3087432,14.7074607213338,4.78638353168367e-05,2.73648470114802,-0.906443891716212,0,1.65269241867926,0.928649847801673,0.20915042461934,,520,12,0.0959626348348781
20630,Swine offal,"Despojos comestibles de porcinos, frescos o refrigerados.",Agricultura, I Animales vivos; productos animales,1.56506001590659,188,Creció / Creció,3180403.67486339,0.0,0.0,-0.553168718114677,1.43911596425151,0,0.0571110917606874,0.461865230816679,0.872916572455424,,520,12,0.0959626348348781
20641,"Swine livers, frozen","Higados de porcinos, congelados.",Agricultura, I Animales vivos; productos animales,0.475709518434618,1662,Se mantuvo / Se mantuvo,214974.153005464,0.0,0.0,0.46516789436081,-0.0180208760643477,0,0.369584302683159,0.297633068323076,0.250368353687941,,520,12,0.0959626348348781
20649,"Swine offal, frozen","Los demas despojos comestibles de la especie porcina, congelados",Agricultura, I Animales vivos; productos animales,0.897469138023685,959,Creció mucho / Creció,20981319.8989071,0.0,0.0,0.178712363947217,0.974841474803614,0,0.409813863526143,0.565171068858426,0.716659657351712,,520,12,0.0959626348348781
20680,Sheep and equine offal,"Los demas despojos comestibles de animales, frescos o refrigerados.",Agricultura, I Animales vivos; productos animales,-0.942383886346928,3745,Se mantuvo / Se mantuvo,-15313.849726776,0.0,0.0,1.94506425768858,-0.569718798037903,1,1.15336283213973,0.631772966578984,0.091549846602785,Recuperación de posiciones,520,12,0.0959626348348781
20690,"Sheep & equine offal, frozen",Los demas despojos comestibles de animales congelados.,Agricultura, I Animales vivos; productos animales,-1.23472918998828,4063,Decreció / Decreció,-359812.360655738,244694.135416667,10.8873937610045,3.58275954646523,-1.10664783148208,0,,,,,520,12,0.0959626348348781
20710,Whole poultry,Aves de corral enteras,Agricultura, I Animales vivos; productos animales,0.203971291289056,2128,Creció / Decreció,8657779.37431694,0.0,0.0,-0.317242572093284,0.973177583300337,0,-0.00703715467632572,0.212586561801834,0.39374996367943,,520,12,0.0959626348348781
20721,"Whole domestic fowls, frozen","Aves domésticas enteras, congeladas",Agricultura, I Animales vivos; productos animales,-0.934200880126988,3736,Decreció mucho / Decreció mucho,-56125460.5081967,0.0,0.0,1.31005580464121,-1.1520131307054,0,0.593216349095071,0.111693174554668,-0.358939387456814,,520,12,0.0959626348348781
20722,"Whole turkey, frozen","Pavo entero, congelado",Agricultura, I Animales vivos; productos animales,0.0627981063529942,2352,Decreció / Decreció,627288.991803279,0.0,0.0,1.05698381191904,-0.418281115534701,0,0.662512255871687,0.391513231475324,0.144568168173345,,520,12,0.0959626348348781
20723,"Whole duck, frozen","Pato entero, congelado",Agricultura, I Animales vivos; productos animales,0.890049648096104,967,Decreció / Decreció,1671738.96174863,0.0,0.0,-0.810535895235874,0.856916029581721,0,-0.306986955939157,0.0281601099500812,0.364963856765038,,520,12,0.0959626348348781
20731,"Fatty livers of geese, ducks","Hígados grasos de gansos, patos",Agricultura, I Animales vivos; productos animales,0.325506322813762,1910,Decreció / Decreció,421870.101092896,0.0,0.0,-1.09535854026355,-2.5071616227861,0,-1.23563267046033,-1.37635988968484,-1.37545371162937,,520,12,0.0959626348348781
20739,Other poultry meat,Otra carne de aves de corral,Agricultura, I Animales vivos; productos animales,0.812376349796186,1086,Creció mucho / Creció,46578957.704918,0.0,0.0,-0.692437109686543,1.45048283265132,0,-0.113371775270699,0.283306889054117,0.648080229236175,,520,12,0.0959626348348781
20741,"Domestic fowl meat, frozen","Carne de ave doméstica, congelada",Agricultura, I Animales vivos; productos animales,-0.163751184190962,2710,Creció mucho / Creció,-119950484.519126,0.0,0.0,0.679838938439095,-0.113493917124367,0,0.436813355063397,0.275633920597375,0.111941622778023,,520,12,0.0959626348348781
20742,"Turkey meat, frozen","Carne de pavo, congelada",Agricultura, I Animales vivos; productos animales,0.129992067262481,2262,Decreció / Decreció,6028205.30327869,0.0,0.0,0.0522279638132081,0.742872942842263,0,0.198133369963946,0.305618321990768,0.382459230238601,,520,12,0.0959626348348781
20743,"Duck meat, frozen","Carne de pato, congelada",Agricultura, I Animales vivos; productos animales,0.606872691047187,1441,Se mantuvo / Decreció,3893116.5136612,0.0,0.0,-1.09437602154013,-1.39777499909663,0,-0.984930945792696,-0.945378356796806,-0.805593383293725,,520,12,0.0959626348348781
20810,Rabbit meat and offal,Carne de conejo o liebre refrigerada o congelada,Agricultura, I Animales vivos; productos animales,0.413123574057429,1757,Decreció / Decreció,-4273833.32786885,0.0,0.0,-0.273523032745572,0.812521950827418,1,0.0123506246493261,0.209589702525425,0.386858861563024,Recuperación de posiciones,520,12,0.0959626348348781
20890,"Meat and offal, nes","Las demas carnes y despojos comestibles, frescas, refrigeradas o conge",Agricultura, I Animales vivos; productos animales,-0.20329973092706,2778,Decreció / Decreció,3566179.67213115,52192.0052083333,0.66590389307749,0.563691789941334,0.469373794790116,0,0.468129038824251,0.415631763508149,0.329500811906187,Trayectoria productiva,520,12,0.0959626348348781
20900,Pig and poultry fat,"Tocino sin partes magras y grasa sin fundir de cerdo o de ave, frescos",Agricultura, I Animales vivos; productos animales,0.587262211296032,1464,Creció / Creció,3055075.8852459,0.0,0.0,-0.104446668684425,1.24268345701341,0,0.234150244453189,0.470805207306887,0.674689107874717,,520,12,0.0959626348348781
21011,Cured pork shoulders and ham,"Jamones, paletas y sus trozos sin deshuesar, salados o en salmuera, se",Agricultura, I Animales vivos; productos animales,0.192951393757814,2157,Creció / Se mantuvo,2329832.84153005,0.0,0.0,0.252457927561533,0.5044685061289,0,0.296909389894634,0.331735649989554,0.350986054465918,,520,12,0.0959626348348781
