"codigo_hs","product_name_en","nombre_producto_es","seccion_atlas","seccion_2_digitos","indice_de_complejidad_de_producto_icp_","ranking_de_complejidad_producto","tendencia_mercado","potencial_exportador","fob_formosa","vcr_formosa","compatibilidad_con_formosa","valor_estrategico_para_formosa","indice_recuperacion_de_posiciones_formosa","indice_oportunidades_cercanas_formosa","indice_objetivos_factibles_formosa","indice_apuestas_ambiciosas_formosa","top_20_criterios_formosa","empleo","empresas","tasa_fem"
"10111","Horses, pure-bred","Caballos reproductores de raza pura.","Agricultura"," I Animales vivos; productos animales","-0.131425","2648","Creció / Se mantuvo","4238686.866120","3840.412760","0.676941","2.209340","-0.585419","1","1.416312","0.880060","0.366507","Recuperación de posiciones, Trayectoria productiva","1390","324","0.100505"
"20430","Lamb carcasses, frozen","Carne de cordero congelada, en canales o medios canales","Agricultura"," I Animales vivos; productos animales","-0.930832","3733","Decreció / Decreció","-2257556.565574","0.000000","0.000000","3.441144","-1.229417","0","2.069834","1.150651","0.246398","","121","9","0.095963"
"20441","Sheep carcasses, frozen","Las demas carnes de ovinos congelada en canales o medios canales.","Agricultura"," I Animales vivos; productos animales","-1.687715","4414","Decreció / Decreció","1151822.680328","0.000000","0.000000","3.935745","-2.130660","0","2.160118","0.968985","-0.200002","","121","9","0.095963"
"20442","Mutton, bone-in, frozen","Los demas cortes (trozos) de carne de ovinos congelada,sin deshuesar","Agricultura"," I Animales vivos; productos animales","-1.595642","4367","Creció mucho / Creció mucho","11907148.975410","0.000000","0.000000","8.028540","-3.302235","0","4.799967","2.619141","0.523645","Oportunidades cercanas, Objetivos factibles","121","9","0.095963"
"20443","Mutton, boneless, frozen","Las demas carnes de la especie ovina deshuesada, congelada","Agricultura"," I Animales vivos; productos animales","-0.798641","3558","Creció / Creció","5408708.959016","0.000000","0.000000","2.343576","-2.095441","0","1.141551","0.318587","-0.439536","","121","9","0.095963"
"20450","Goat meat","Carne de animales de la especie caprina, fresca, refrigerada o congela","Agricultura"," I Animales vivos; productos animales","-1.763812","4453","Decreció / Decreció","1941706.415301","0.000000","0.000000","2.648614","-1.703289","0","1.336991","0.463584","-0.412849","","121","9","0.095963"
"20500","Horse meat","Carne de animales de las especies caballar, asnal o mular, fresca, ref","Agricultura"," I Animales vivos; productos animales","-0.623197","3355","Creció / Creció","-55253555.090164","0.000000","0.000000","2.760992","-0.419003","0","1.786574","1.140365","0.483947","","121","9","0.095963"
"20610","Bovine offal","Despojos comestibles de animales de la especie bovina, frescos o refri","Agricultura"," I Animales vivos; productos animales","-0.230607","2817","Creció / Creció","5279473.595628","0.000000","0.000000","1.030238","-0.131120","0","0.671882","0.434636","0.192416","","121","9","0.095963"
"20621","Bovine tongue, frozen","Lenguas de bovinos, congeladas.","Agricultura"," I Animales vivos; productos animales","-0.575717","3284","Decreció / Decreció","-19122584.756831","0.000000","0.000000","4.373169","-1.384177","0","2.726811","1.615765","0.545142","Oportunidades cercanas, Objetivos factibles","121","9","0.095963"
"20622","Bovine livers, frozen","Higados de bovinos, congelados.","Agricultura"," I Animales vivos; productos animales","-0.661662","3399","Decreció / Decreció","-31033072.505465","0.000000","0.000000","3.352786","-0.891557","0","2.102473","1.265099","0.439220","Objetivos factibles","121","9","0.095963"
"20629","Bovine offal, frozen","Los demas despojos comestibles de bovinos, congelados.","Agricultura"," I Animales vivos; productos animales","-0.815581","3582","Creció mucho / Creció","-97090577.308743","0.000000","0.000000","3.886250","-0.912790","0","2.456259","1.501311","0.551224","Oportunidades cercanas, Objetivos factibles","121","9","0.095963"
"20630","Swine offal","Despojos comestibles de porcinos, frescos o refrigerados.","Agricultura"," I Animales vivos; productos animales","1.565060","188","Creció / Creció","3180403.674863","0.000000","0.000000","0.023665","1.432786","0","0.459629","0.748067","1.043118","","121","9","0.095963"
"20641","Swine livers, frozen","Higados de porcinos, congelados.","Agricultura"," I Animales vivos; productos animales","0.475710","1662","Se mantuvo / Se mantuvo","214974.153005","0.000000","0.000000","0.695802","-0.015400","0","0.531552","0.413867","0.320738","","121","9","0.095963"
"20649","Swine offal, frozen","Los demas despojos comestibles de la especie porcina, congelados","Agricultura"," I Animales vivos; productos animales","0.897469","959","Creció mucho / Creció","20981319.898907","0.000000","0.000000","0.411412","0.974710","0","0.572677","0.681475","0.786410","","121","9","0.095963"
"20680","Sheep and equine offal","Los demas despojos comestibles de animales, frescos o refrigerados.","Agricultura"," I Animales vivos; productos animales","-0.942384","3745","Se mantuvo / Se mantuvo","-15313.849727","0.000000","0.000000","2.118178","-0.569798","0","1.274526","0.718302","0.143448","","121","9","0.095963"
"20690","Sheep & equine offal, frozen","Los demas despojos comestibles de animales congelados.","Agricultura"," I Animales vivos; productos animales","-1.234729","4063","Decreció / Decreció","-359812.360656","0.000000","0.000000","3.330968","-1.102005","0","1.987804","1.094573","0.194706","","121","9","0.095963"
"20710","Whole poultry","Aves de corral enteras","Agricultura"," I Animales vivos; productos animales","0.203971","2128","Creció / Decreció","8657779.374317","0.000000","0.000000","0.017970","0.969299","0","0.226836","0.378835","0.492568","","121","9","0.095963"
"20721","Whole domestic fowls, frozen","Aves domésticas enteras, congeladas","Agricultura"," I Animales vivos; productos animales","-0.934201","3736","Decreció mucho / Decreció mucho","-56125460.508197","0.000000","0.000000","2.700400","-1.160850","0","1.564690","0.803772","0.054187","","121","9","0.095963"
"20722","Whole turkey, frozen","Pavo entero, congelado","Agricultura"," I Animales vivos; productos animales","0.062798","2352","Decreció / Decreció","627288.991803","0.000000","0.000000","1.155098","-0.416295","0","0.731590","0.441266","0.174896","","121","9","0.095963"
"20723","Whole duck, frozen","Pato entero, congelado","Agricultura"," I Animales vivos; productos animales","0.890050","967","Decreció / Decreció","1671738.961749","0.000000","0.000000","0.016277","0.849638","0","0.270327","0.439019","0.609733","","121","9","0.095963"
"20731","Fatty livers of geese, ducks","Hígados grasos de gansos, patos","Agricultura"," I Animales vivos; productos animales","0.325506","1910","Decreció / Decreció","421870.101093","0.000000","0.000000","0.647600","-2.508335","0","-0.015796","-0.505291","-0.853094","","121","9","0.095963"
"20739","Other poultry meat","Otra carne de aves de corral","Agricultura"," I Animales vivos; productos animales","0.812376","1086","Creció mucho / Creció","46578957.704918","0.000000","0.000000","0.287396","1.437368","0","0.569888","0.768633","0.936128","","121","9","0.095963"
"20741","Domestic fowl meat, frozen","Carne de ave doméstica, congelada","Agricultura"," I Animales vivos; productos animales","-0.163751","2710","Creció mucho / Creció","-119950484.519126","0.000000","0.000000","1.398176","-0.119462","0","0.938455","0.632713","0.324757","","121","9","0.095963"
"20742","Turkey meat, frozen","Carne de pavo, congelada","Agricultura"," I Animales vivos; productos animales","0.129992","2262","Decreció / Decreció","6028205.303279","0.000000","0.000000","0.618379","0.738647","0","0.593594","0.587215","0.550403","","121","9","0.095963"
"20743","Duck meat, frozen","Carne de pato, congelada","Agricultura"," I Animales vivos; productos animales","0.606873","1441","Se mantuvo / Decreció","3893116.513661","0.000000","0.000000","-0.479514","-1.396931","0","-0.554358","-0.637652","-0.620755","","121","9","0.095963"
"20810","Rabbit meat and offal","Carne de conejo o liebre refrigerada o congelada","Agricultura"," I Animales vivos; productos animales","0.413124","1757","Decreció / Decreció","-4273833.327869","0.000000","0.000000","0.598499","0.803268","0","0.620915","0.642362","0.644301","","121","9","0.095963"
"20890","Meat and offal, nes","Las demas carnes y despojos comestibles, frescas, refrigeradas o conge","Agricultura"," I Animales vivos; productos animales","-0.203300","2778","Decreció / Decreció","3566179.672131","0.000000","0.000000","0.744895","0.469259","0","0.594948","0.506193","0.383810","","121","9","0.095963"
"20900","Pig and poultry fat","Tocino sin partes magras y grasa sin fundir de cerdo o de ave, frescos","Agricultura"," I Animales vivos; productos animales","0.587262","1464","Creció / Creció","3055075.885246","0.000000","0.000000","0.579802","1.234848","0","0.711557","0.810187","0.876438","","121","9","0.095963"
"21011","Cured pork shoulders and ham","Jamones, paletas y sus trozos sin deshuesar, salados o en salmuera, se","Agricultura"," I Animales vivos; productos animales","0.192951","2157","Creció / Se mantuvo","2329832.841530","0.000000","0.000000","0.711546","0.498084","0","0.616994","0.559045","0.485839","","121","9","0.095963"
"21012","Cured swine bellies","Panceta y sus trozos, salados o en salmuera, secos o ahumados.","Agricultura"," I Animales vivos; productos animales","1.114513","641","Creció / Creció","4448351.767760","0.000000","0.000000","0.187406","1.182382","0","0.479112","0.674714","0.866922","","121","9","0.095963"
"21019","Cured pork","Las demas carnes de porcinos saladas o en salmuera, secas o ahumadas.","Agricultura"," I Animales vivos; productos animales","0.841588","1043","Decreció / Decreció","17653033.743169","0.000000","0.000000","-0.145781","0.475709","0","0.077254","0.219846","0.380732","","121","9","0.095963"
"21020","Cured beef","Carne de bovinos salada o en salmuera, seca o ahumada.","Agricultura"," I Animales vivos; productos animales","-0.144613","2671","Creció / Creció","1941828.685792","0.000000","0.000000","1.076586","0.046503","0","0.748449","0.532877","0.307749","","121","9","0.095963"
"21090","Cured meat and offal","Los demas, incluidos la harina y el polvo comestible, de carne o despo","Agricultura"," I Animales vivos; productos animales","-0.050141","2525","Decreció mucho / Decreció mucho","6099405.032787","0.000000","0.000000","1.187536","-1.226768","0","0.580908","0.156878","-0.208320","","121","9","0.095963"
"30110","Live ornamental fish","Peces ornamentales, vivos.","Agricultura"," I Animales vivos; productos animales","-1.070920","3907","Creció / Se mantuvo","2083891.562842","9.980048","0.008849","0.874317","-0.604199","0","0.384090","0.065051","-0.277325","","s.d.","s.d.","0.091967"
"30191","Live trout","Truchas, vivas.","Agricultura"," I Animales vivos; productos animales","-0.228193","2808","Creció / Creció","882861.874317","0.000000","0.000000","0.515752","-0.234728","0","0.291261","0.141492","-0.007950","","s.d.","s.d.","0.091967"
"30192","Live eels","Anguilas vivas.","Agricultura"," I Animales vivos; productos animales","-0.768477","3520","Creció mucho / Creció","3887181.196721","0.000000","0.000000","-0.361159","-0.760776","0","-0.481814","-0.562122","-0.642816","","s.d.","s.d.","0.091967"
"30193","Live carp","Carpas vivas.","Agricultura"," I Animales vivos; productos animales","0.212231","2118","Decreció / Decreció","1213960.527322","0.000000","0.000000","-0.903389","-0.792809","0","-0.769711","-0.697343","-0.574723","","s.d.","s.d.","0.091967"
"30199","Other live fish","Los demas peces vivos.","Agricultura"," I Animales vivos; productos animales","-1.251169","4080","Creció / Decreció","5396004.428962","0.000000","0.000000","0.437689","-0.723341","0","0.036598","-0.222000","-0.506989","","s.d.","s.d.","0.091967"
"30211","Trout","Truchas frescas o refrigeradas, excluidos filete, higado, huevas, lech","Agricultura"," I Animales vivos; productos animales","-0.339593","2966","Creció / Creció","3877227.027322","0.000000","0.000000","0.370744","0.135544","0","0.252670","0.181873","0.087320","","s.d.","s.d.","0.091967"
"30212","Salmon","Salmones del pacifico, atlantico y danubio, fresco o refrigerado.","Agricultura"," I Animales vivos; productos animales","0.772492","1156","Creció mucho / Creció mucho","100694279.092896","0.000000","0.000000","0.311895","-1.393822","0","0.016811","-0.216016","-0.340528","","s.d.","s.d.","0.091967"
"30219","Salmonids, nes","Los demas salmonidos, frescos o refrigerados, excluido filete, higados","Agricultura"," I Animales vivos; productos animales","-1.322273","4153","Decreció / Decreció","1468895.893443","0.000000","0.000000","0.625858","-0.452361","0","0.215401","-0.043738","-0.346373","","s.d.","s.d.","0.091967"
"30221","Halibut","Halibut fresco o refrigerads excluidos filetes, higados, huevas.","Agricultura"," I Animales vivos; productos animales","1.227490","503","Creció / Creció","1302024.092896","0.000000","0.000000","0.595781","-1.572330","0","0.225330","-0.068301","-0.221942","","s.d.","s.d.","0.091967"
"30222","Pollock","Sollas frescas o refrigeradas, excluidos filete, higados, huevas y lec","Agricultura"," I Animales vivos; productos animales","0.966124","862","Se mantuvo / Se mantuvo","465088.202186","0.000000","0.000000","-0.443260","-0.721143","0","-0.357898","-0.329111","-0.215961","","s.d.","s.d.","0.091967"
"30223","Sole","Lenguados frescos o refrigerados, excluidos filetes, higado, huevas, l","Agricultura"," I Animales vivos; productos animales","-0.821205","3594","Decreció / Decreció","1261264.754098","0.000000","0.000000","0.332768","-0.374193","0","0.075978","-0.087765","-0.273858","","s.d.","s.d.","0.091967"
"30229","Flatfish","Los demas pescados planos, frescos o refrigerados, excluidos: filetes,","Agricultura"," I Animales vivos; productos animales","-1.451833","4263","Creció / Creció","2932782.133880","0.000000","0.000000","0.481221","-0.541870","0","0.083298","-0.166819","-0.462433","","s.d.","s.d.","0.091967"
"30231","Albacore","Albacoras o atunes blancos, frescos o refrigerados excl. higados, huev","Agricultura"," I Animales vivos; productos animales","-1.350430","4179","Decreció / Se mantuvo","435462.183060","0.000000","0.000000","0.610179","-1.044935","0","0.083095","-0.263202","-0.624775","","s.d.","s.d.","0.091967"
"30232","Yellowfin tuna","Atunes de aleta amarilla, frescos o refrigerados, excluido higados, hu","Agricultura"," I Animales vivos; productos animales","-1.672903","4407","Decreció / Decreció","1589587.961749","0.000000","0.000000","1.618644","-1.124596","0","0.740841","0.164778","-0.438701","","s.d.","s.d.","0.091967"
"30233","Bonito","Listados o bonitos de vientre rayado frescos o refrigerados, excluido","Agricultura"," I Animales vivos; productos animales","-0.951145","3758","Se mantuvo / Se mantuvo","72103.215847","0.000000","0.000000","0.616406","-0.424339","0","0.251502","0.017013","-0.243817","","s.d.","s.d.","0.091967"
"30239","Tuna, nes","Los demas atunes, frescos o refrigerados, excluido los higados, huevas","Agricultura"," I Animales vivos; productos animales","-1.468812","4275","Decreció / Decreció","2517857.797814","0.000000","0.000000","0.922324","-0.900396","0","0.318666","-0.074298","-0.495684","","s.d.","s.d.","0.091967"
"30240","Herring","Arenques frescos o refrigerados, excludos filetes, higados, huevas y l","Agricultura"," I Animales vivos; productos animales","0.152458","2226","Decreció / Decreció","864529.680328","0.000000","0.000000","0.293718","-0.443216","0","0.132205","0.014602","-0.073217","","s.d.","s.d.","0.091967"
