Código HS 1992,Product Name EN,Nombre Producto ES,Sección Atlas,Sección 2 dígitos,Índice de complejidad de producto (ICP),Ranking de complejidad producto,Tendencia mercado 2014-2019 (nominal / share),Potencial exportador,FOB Tierra del Fuego,VCR Tierra del Fuego,Compatibilidad con Tierra del Fuego,Valor estratégico para Tierra del Fuego,Indice Recuperacion de posiciones - Tierra del Fuego,Indice Oportunidades cercanas - Tierra del Fuego,Indice Objetivos factibles - Tierra del Fuego,Indice Apuestas ambiciosas - Tierra del Fuego,Top 20 criterios Tierra del Fuego,Empleo 2021,Empresas 2020,Tasa fem
20329,"Other pork, frozen","Las demas carnes de porcino, congeladas.",Agricultura, I Animales vivos; productos animales,0.699375218796868,1279,Creció mucho / Creció mucho,82560528.3196721,0.0,0.0,0.427138029171611,0.650886732843005,0,0.499111488868416,0.537522643014511,0.595884243230053,,29,4,0.0959626348348781
20410,Lamb carcasses,"Canales o medios canales de cordero, frescos o refrigerados.",Agricultura, I Animales vivos; productos animales,-0.980284616730914,3794,Creció / Creció,6572914.93169399,0.0,0.0,0.332172514341885,-1.01447792914643,0,-0.0684032874630584,-0.266981522744754,-0.601934467996057,,29,4,0.0959626348348781
20421,Sheep carcasses,"Las demas carnes de ovinos, en canales o medios canales, frescas o ref",Agricultura, I Animales vivos; productos animales,-1.15139425919805,3986,Creció / Se mantuvo,2672355.50273224,0.0,0.0,0.295779168455731,-0.954762839995402,0,-0.0990465759998738,-0.306291019187809,-0.628758092260725,,29,4,0.0959626348348781
20422,"Mutton, bone-in","Los demas cortes de ovinos, sin deshuesar, frescos o refrigerados.",Agricultura, I Animales vivos; productos animales,-1.09907055269062,3938,Creció / Decreció,7565084.90710382,0.0,0.0,0.315577600765061,-2.73482639669449,0,-0.435968014072418,-0.729953029290964,-1.41076623645566,,29,4,0.0959626348348781
20423,"Mutton, boneless","Las demas carnes de ovinos, deshuesadas, frescas o refrigeradas.",Agricultura, I Animales vivos; productos animales,0.325352985380381,1911,Creció / Se mantuvo,3357989.32240437,0.0,0.0,0.632067669414402,-2.96426358935404,0,-0.117870050742689,-0.328358082084514,-1.0629600680399,,29,4,0.0959626348348781
20430,"Lamb carcasses, frozen","Carne de cordero congelada, en canales o medios canales",Agricultura, I Animales vivos; productos animales,-0.930832104146423,3733,Decreció / Decreció,-2257556.56557377,0.0,0.0,1.31579177542421,-1.20660605939767,0,0.586649820502769,0.235867540804613,-0.380943220138293,,29,4,0.0959626348348781
20441,"Sheep carcasses, frozen",Las demas carnes de ovinos congelada en canales o medios canales.,Agricultura, I Animales vivos; productos animales,-1.68771451168179,4414,Decreció / Decreció,1151822.68032787,0.0,0.0,1.72790120662092,-2.11313326258104,0,0.618132740950258,0.0845194456598891,-0.85446823409564,,29,4,0.0959626348348781
20442,"Mutton, bone-in, frozen","Los demas cortes (trozos) de carne de ovinos congelada,sin deshuesar",Agricultura, I Animales vivos; productos animales,-1.59564230831153,4367,Creció mucho / Creció mucho,11907148.9754098,0.0,0.0,4.70706732256279,-3.29436574467082,0,2.47650974602863,1.44616712957952,-0.469254965410913,"Oportunidades cercanas, Objetivos factibles",29,4,0.0959626348348781
20443,"Mutton, boneless, frozen","Las demas carnes de la especie ovina deshuesada, congelada",Agricultura, I Animales vivos; productos animales,-0.798640852840227,3558,Creció / Creció,5408708.95901639,0.0,0.0,1.28015709197382,-2.08510737854991,0,0.399224403387672,0.0230813853800807,-0.753911405965368,,29,4,0.0959626348348781
20450,Goat meat,"Carne de animales de la especie caprina, fresca, refrigerada o congela",Agricultura, I Animales vivos; productos animales,-1.76381163222042,4453,Decreció / Decreció,1941706.41530055,0.0,0.0,0.119254559603223,-1.68225506606847,0,-0.429353984713482,-0.707736085179431,-1.16219131990495,,29,4,0.0959626348348781
20500,Horse meat,"Carne de animales de las especies caballar, asnal o mular, fresca, ref",Agricultura, I Animales vivos; productos animales,-0.623196547651166,3355,Creció / Creció,-55253555.0901639,0.0,0.0,0.443591458644646,-0.39054645637136,0,0.170085075011864,0.0216993786314822,-0.19846760468651,,29,4,0.0959626348348781
20610,Bovine offal,"Despojos comestibles de animales de la especie bovina, frescos o refri",Agricultura, I Animales vivos; productos animales,-0.230607264445848,2817,Creció / Creció,5279473.59562842,0.0,0.0,0.22120736421948,-0.11771591294587,0,0.108241245919877,0.0461136191950772,-0.0442617676712592,,29,4,0.0959626348348781
20621,"Bovine tongue, frozen","Lenguas de bovinos, congeladas.",Agricultura, I Animales vivos; productos animales,-0.57571674489425,3284,Decreció / Decreció,-19122584.7568306,0.0,0.0,1.90294768429545,-1.36004144537782,0,1.00248341544183,0.591467516039195,-0.185063531354946,,29,4,0.0959626348348781
20622,"Bovine livers, frozen","Higados de bovinos, congelados.",Agricultura, I Animales vivos; productos animales,-0.661661645599569,3399,Decreció / Decreció,-31033072.5054645,0.0,0.0,1.281862367169,-0.867497273721901,0,0.657638037713959,0.355817654392558,-0.171230474424049,,29,4,0.0959626348348781
20629,"Bovine offal, frozen","Los demas despojos comestibles de bovinos, congelados.",Agricultura, I Animales vivos; productos animales,-0.815580937811082,3582,Creció mucho / Creció,-97090577.3087432,0.0,0.0,1.47068633880464,-0.885159990492805,0,0.770890345283578,0.424471301157133,-0.161011328533141,,29,4,0.0959626348348781
20630,Swine offal,"Despojos comestibles de porcinos, frescos o refrigerados.",Agricultura, I Animales vivos; productos animales,1.56506001590659,188,Creció / Creció,3180403.67486339,0.0,0.0,-0.260688456454708,1.43875194256243,0,0.261774470584849,0.529321337771836,0.960496841193328,,29,4,0.0959626348348781
20641,"Swine livers, frozen","Higados de porcinos, congelados.",Agricultura, I Animales vivos; productos animales,0.475709518434618,1662,Se mantuvo / Se mantuvo,214974.153005464,0.0,0.0,-0.404470799506104,-0.00254335375148943,0,-0.236067278561109,-0.127952874479306,-0.00355836943134709,,29,4,0.0959626348348781
20649,"Swine offal, frozen","Los demas despojos comestibles de la especie porcina, congelados",Agricultura, I Animales vivos; productos animales,0.897469138023685,959,Creció mucho / Creció,20981319.8989071,0.0,0.0,-0.105355506526811,0.984064904619558,0,0.212811040157513,0.367564525169881,0.635589839626679,,29,4,0.0959626348348781
20680,Sheep and equine offal,"Los demas despojos comestibles de animales, frescos o refrigerados.",Agricultura, I Animales vivos; productos animales,-0.942383886346928,3745,Se mantuvo / Se mantuvo,-15313.849726776,0.0,0.0,1.33188834142725,-0.554044801511486,0,0.727274490062086,0.405550610137732,-0.0853496298387252,,29,4,0.0959626348348781
20690,"Sheep & equine offal, frozen",Los demas despojos comestibles de animales congelados.,Agricultura, I Animales vivos; productos animales,-1.23472918998828,4063,Decreció / Decreció,-359812.360655738,0.0,0.0,1.06900569110308,-1.07708598507814,0,0.409413867757696,0.0717357958394994,-0.472669283451313,,29,4,0.0959626348348781
20710,Whole poultry,Aves de corral enteras,Agricultura, I Animales vivos; productos animales,0.203971291289056,2128,Creció / Decreció,8657779.37431694,0.0,0.0,-0.439180511398526,0.976969452828505,0,-0.0916353382843614,0.0434873401957483,0.358874923175534,,29,4,0.0959626348348781
20721,"Whole domestic fowls, frozen","Aves domésticas enteras, congeladas",Agricultura, I Animales vivos; productos animales,-0.934200880126988,3736,Decreció mucho / Decreció mucho,-56125460.5081967,0.0,0.0,-0.22405552716948,-1.13420558265288,0,-0.477100073561911,-0.593622111631832,-0.811159390376388,,29,4,0.0959626348348781
20722,"Whole turkey, frozen","Pavo entero, congelado",Agricultura, I Animales vivos; productos animales,0.0627981063529942,2352,Decreció / Decreció,627288.991803279,0.0,0.0,0.830959746209089,-0.407044694552366,0,0.506542694071188,0.367826308047506,0.0818173379024103,,29,4,0.0959626348348781
20723,"Whole duck, frozen","Pato entero, congelado",Agricultura, I Animales vivos; productos animales,0.890049648096104,967,Decreció / Decreció,1671738.96174863,0.0,0.0,-0.427259692074658,0.855516760477629,0,-0.0389734675471241,0.156896289097566,0.479317046616562,,29,4,0.0959626348348781
