"codigo_hs","product_name_en","nombre_producto_es","seccion_atlas","seccion_2_digitos","indice_de_complejidad_de_producto_icp","ranking_de_complejidad_producto","tendencia_mercado","potencial_exportador","fob_entre_rios","vcr_entre_rios","compatibilidad_con_entre_rios","valor_estrategico_para_entre_rios","indice_recuperacion_de_posiciones_entre_rios","indice_oportunidades_cercanas_entre_rios","indice_objetivos_factibles_entre_rios","indice_apuestas_ambiciosas_entre_rios","top_20_criterios_entre_rios","empleo","empresas","tasa_fem"
"10111","Horses, pure-bred","Caballos reproductores de raza pura.","Agricultura"," I Animales vivos; productos animales","-0.13143","2648","Creció / Se mantuvo","4238686.86612","504075.20346","4.47142","2.07008","-0.62579","0","","","","","5742","1663","0.10050"
"20680","Sheep and equine offal","Los demas despojos comestibles de animales, frescos o refrigerados.","Agricultura"," I Animales vivos; productos animales","-0.94238","3745","Se mantuvo / Se mantuvo","-15313.84973","2226.48340","0.82275","2.31943","-0.62240","1","1.40488","0.93161","0.18015","Recuperación de posiciones, Trayectoria productiva","10946","83","0.09596"
"20690","Sheep & equine offal, frozen","Los demas despojos comestibles de animales congelados.","Agricultura"," I Animales vivos; productos animales","-1.23473","4063","Decreció / Decreció","-359812.36066","26647.59961","2.28613","3.20195","-1.15867","0","","","","","10946","83","0.09596"
"20710","Whole poultry","Aves de corral enteras","Agricultura"," I Animales vivos; productos animales","0.20397","2128","Creció / Decreció","8657779.37432","0.00000","0.00000","0.82346","0.92233","0","0.78129","0.72428","0.71308","","10946","83","0.09596"
"20721","Whole domestic fowls, frozen","Aves domésticas enteras, congeladas","Agricultura"," I Animales vivos; productos animales","-0.93420","3736","Decreció mucho / Decreció mucho","-56125460.50820","35460110.00000","177.63606","3.18535","-1.22319","0","","","","","10946","83","0.09596"
"20722","Whole turkey, frozen","Pavo entero, congelado","Agricultura"," I Animales vivos; productos animales","0.06280","2352","Decreció / Decreció","627288.99180","0.00000","0.00000","1.54889","-0.45430","0","0.99964","0.75087","0.27593","","10946","83","0.09596"
"20723","Whole duck, frozen","Pato entero, congelado","Agricultura"," I Animales vivos; productos animales","0.89005","967","Decreció / Decreció","1671738.96175","0.00000","0.00000","0.62450","0.81576","0","0.68931","0.72543","0.77696","","10946","83","0.09596"
"20731","Fatty livers of geese, ducks","Hígados grasos de gansos, patos","Agricultura"," I Animales vivos; productos animales","0.32551","1910","Decreció / Decreció","421870.10109","0.00000","0.00000","0.13912","-2.49367","0","-0.36880","-0.48180","-0.99904","","10946","83","0.09596"
"20739","Other poultry meat","Otra carne de aves de corral","Agricultura"," I Animales vivos; productos animales","0.81238","1086","Creció mucho / Creció","46578957.70492","0.00000","0.00000","0.95885","1.38392","0","1.02921","1.03582","1.11351","Apuestas ambiciosas","10946","83","0.09596"
"20741","Domestic fowl meat, frozen","Carne de ave doméstica, congelada","Agricultura"," I Animales vivos; productos animales","-0.16375","2710","Creció mucho / Creció","-119950484.51913","165087808.00000","183.21325","2.34893","-0.18914","0","","","","","10946","83","0.09596"
"20742","Turkey meat, frozen","Carne de pavo, congelada","Agricultura"," I Animales vivos; productos animales","0.12999","2262","Decreció / Decreció","6028205.30328","0.00000","0.00000","1.17906","0.68835","0","0.97601","0.84657","0.69597","","10946","83","0.09596"
"20743","Duck meat, frozen","Carne de pato, congelada","Agricultura"," I Animales vivos; productos animales","0.60687","1441","Se mantuvo / Decreció","3893116.51366","0.00000","0.00000","-0.32492","-1.38563","0","-0.44388","-0.40374","-0.56929","","10946","83","0.09596"
"20810","Rabbit meat and offal","Carne de conejo o liebre refrigerada o congelada","Agricultura"," I Animales vivos; productos animales","0.41312","1757","Decreció / Decreció","-4273833.32787","0.00000","0.00000","0.66152","0.77454","0","0.65928","0.64009","0.65028","","10946","83","0.09596"
"20890","Meat and offal, nes","Las demas carnes y despojos comestibles, frescas, refrigeradas o conge","Agricultura"," I Animales vivos; productos animales","-0.20330","2778","Decreció / Decreció","3566179.67213","0.00000","0.00000","0.95099","0.43328","0","0.73202","0.59070","0.42945","","10946","83","0.09596"
"20900","Pig and poultry fat","Tocino sin partes magras y grasa sin fundir de cerdo o de ave, frescos","Agricultura"," I Animales vivos; productos animales","0.58726","1464","Creció / Creció","3055075.88525","0.00000","0.00000","1.22706","1.17686","0","1.15304","1.08655","1.04452","","10946","83","0.09596"
"21011","Cured pork shoulders and ham","Jamones, paletas y sus trozos sin deshuesar, salados o en salmuera, se","Agricultura"," I Animales vivos; productos animales","0.19295","2157","Creció / Se mantuvo","2329832.84153","0.00000","0.00000","1.06639","0.46083","0","0.85794","0.74031","0.57553","","10946","83","0.09596"
"21012","Cured swine bellies","Panceta y sus trozos, salados o en salmuera, secos o ahumados.","Agricultura"," I Animales vivos; productos animales","1.11451","641","Creció / Creció","4448351.76776","0.00000","0.00000","0.34829","1.16487","0","0.58823","0.70568","0.90730","","10946","83","0.09596"
