Código HS 1992,Product Name EN,Nombre Producto ES,Sección Atlas,Sección 2 dígitos,Índice de complejidad de producto (ICP),Ranking de complejidad producto,Tendencia mercado 2014-2019 (nominal / share),Potencial exportador,FOB San Luis,VCR San Luis,Compatibilidad con San Luis,Valor estratégico para San Luis,Indice Recuperacion de posiciones - San Luis,Indice Oportunidades cercanas - San Luis,Indice Objetivos factibles - San Luis,Indice Apuestas ambiciosas - San Luis,Top 20 criterios San Luis,Empleo 2021,Empresas 2020,Tasa fem
20410,Lamb carcasses,"Canales o medios canales de cordero, frescos o refrigerados.",Agricultura, I Animales vivos; productos animales,-0.980284616730914,3794,Creció / Creció,6572914.93169399,0.0,0.0,1.31676154669374,-1.03287744048605,0,0.617129132915317,0.269942567213862,-0.314837538393328,,974,16,0.0959626348348781
20421,Sheep carcasses,"Las demas carnes de ovinos, en canales o medios canales, frescas o ref",Agricultura, I Animales vivos; productos animales,-1.15139425919805,3986,Creció / Se mantuvo,2672355.50273224,0.0,0.0,1.24857747639394,-0.971839515047937,0,0.564496904546365,0.213478881415073,-0.350603103652903,,974,16,0.0959626348348781
20422,"Mutton, bone-in","Los demas cortes de ovinos, sin deshuesar, frescos o refrigerados.",Agricultura, I Animales vivos; productos animales,-1.09907055269062,3938,Creció / Decreció,7565084.90710382,0.0,0.0,1.19080110248772,-2.73034313588377,0,0.177585089295585,-0.247459288140823,-1.14618171857404,,974,16,0.0959626348348781
20423,"Mutton, boneless","Las demas carnes de ovinos, deshuesadas, frescas o refrigeradas.",Agricultura, I Animales vivos; productos animales,0.325352985380381,1911,Creció / Se mantuvo,3357989.32240437,0.0,0.0,0.930281370795826,-2.95470300538974,0,0.0927916570171684,-0.161950400333654,-0.96919369484154,,974,16,0.0959626348348781
20430,"Lamb carcasses, frozen","Carne de cordero congelada, en canales o medios canales",Agricultura, I Animales vivos; productos animales,-0.930832104146423,3733,Decreció / Decreció,-2257556.56557377,0.0,0.0,2.33852941445073,-1.24217480303386,0,1.2954524190941,0.789481056360154,-0.0901278630666218,,974,16,0.0959626348348781
20441,"Sheep carcasses, frozen",Las demas carnes de ovinos congelada en canales o medios canales.,Agricultura, I Animales vivos; productos animales,-1.68771451168179,4414,Decreció / Decreció,1151822.68032787,0.0,0.0,1.24813989502715,-2.11644547744252,0,0.281637379862322,-0.180177329432056,-0.999887124261438,,974,16,0.0959626348348781
20442,"Mutton, bone-in, frozen","Los demas cortes (trozos) de carne de ovinos congelada,sin deshuesar",Agricultura, I Animales vivos; productos animales,-1.59564230831153,4367,Creció mucho / Creció mucho,11907148.9754098,0.0,0.0,2.82100775721754,-3.2882613612578,0,1.15748892696957,0.410360464492893,-1.03232586247863,,974,16,0.0959626348348781
20443,"Mutton, boneless, frozen","Las demas carnes de la especie ovina deshuesada, congelada",Agricultura, I Animales vivos; productos animales,-0.798640852840227,3558,Creció / Creció,5408708.95901639,0.0,0.0,1.54441031375525,-2.08977437103739,0,0.583268260137177,0.167253909237997,-0.676735586050305,,974,16,0.0959626348348781
20450,Goat meat,"Carne de animales de la especie caprina, fresca, refrigerada o congela",Agricultura, I Animales vivos; productos animales,-1.76381163222042,4453,Decreció / Decreció,1941706.41530055,0.0,0.0,1.15637576717292,-1.6942674581705,0,0.294228382164899,-0.140322519041605,-0.856460534079955,,974,16,0.0959626348348781
20500,Horse meat,"Carne de animales de las especies caballar, asnal o mular, fresca, ref",Agricultura, I Animales vivos; productos animales,-0.623196547651166,3355,Creció / Creció,-55253555.0901639,0.0,0.0,2.16809695761626,-0.437603124931169,0,1.36782759058003,0.958413235925916,0.29770854415306,,974,16,0.0959626348348781
20610,Bovine offal,"Despojos comestibles de animales de la especie bovina, frescos o refri",Agricultura, I Animales vivos; productos animales,-0.230607264445848,2817,Creció / Creció,5279473.59562842,58062.9612630208,1.99006778399628,1.83102547321152,-0.157298371907553,0,,,,,974,16,0.0959626348348781
20621,"Bovine tongue, frozen","Lenguas de bovinos, congeladas.",Agricultura, I Animales vivos; productos animales,-0.57571674489425,3284,Decreció / Decreció,-19122584.7568306,591442.145833333,54.8673161633797,3.43983574599067,-1.40621418202284,0,,,,,974,16,0.0959626348348781
20622,"Bovine livers, frozen","Higados de bovinos, congelados.",Agricultura, I Animales vivos; productos animales,-0.661661645599569,3399,Decreció / Decreció,-31033072.5054645,817516.979166667,94.5274326551443,2.74925079703187,-0.913904551628892,0,,,,,974,16,0.0959626348348781
20629,"Bovine offal, frozen","Los demas despojos comestibles de bovinos, congelados.",Agricultura, I Animales vivos; productos animales,-0.815580937811082,3582,Creció mucho / Creció,-97090577.3087432,2041929.01041667,26.5105048154532,2.35219778423069,-0.92188576566295,0,,,,,974,16,0.0959626348348781
20630,Swine offal,"Despojos comestibles de porcinos, frescos o refrigerados.",Agricultura, I Animales vivos; productos animales,1.56506001590659,188,Creció / Creció,3180403.67486339,0.0,0.0,0.777898080653259,1.42114662235633,0,0.985263982519207,1.09614260312969,1.26415040823298,Apuestas ambiciosas,974,16,0.0959626348348781
