"codigo_hs","product_name_en","nombre_producto_es","seccion_atlas","seccion_2_digitos","indice_de_complejidad_de_producto_icp","ranking_de_complejidad_producto","tendencia_mercado","potencial_exportador","fob_rio_negro","vcr_rio_negro","compatibilidad_con_rio_negro","valor_estrategico_para_rio_negro","indice_recuperacion_de_posiciones_rio_negro","indice_oportunidades_cercanas_rio_negro","indice_objetivos_factibles_rio_negro","indice_apuestas_ambiciosas_rio_negro","top_20_criterios_rio_negro","empleo","empresas","tasa_fem"
"10111","Horses, pure-bred","Caballos reproductores de raza pura.","Agricultura"," I Animales vivos; productos animales","-0.13143","2648","Creció / Se mantuvo","4238686.86612","15577.98438","0.37334","1.43914","-0.59108","0","0.87604","0.49298","0.13290","","1105","350","0.10050"
"20441","Sheep carcasses, frozen","Las demas carnes de ovinos congelada en canales o medios canales.","Agricultura"," I Animales vivos; productos animales","-1.68771","4414","Decreció / Decreció","1151822.68033","0.00000","0.00000","2.73150","-2.12869","0","1.31754","0.36755","-0.56039","","1302","17","0.09596"
"20442","Mutton, bone-in, frozen","Los demas cortes (trozos) de carne de ovinos congelada,sin deshuesar","Agricultura"," I Animales vivos; productos animales","-1.59564","4367","Creció mucho / Creció mucho","11907148.97541","0.00000","0.00000","7.03184","-3.30064","0","4.10260","2.12135","0.22535","Oportunidades cercanas, Objetivos factibles","1302","17","0.09596"
"20443","Mutton, boneless, frozen","Las demas carnes de la especie ovina deshuesada, congelada","Agricultura"," I Animales vivos; productos animales","-0.79864","3558","Creció / Creció","5408708.95902","0.00000","0.00000","3.12193","-2.10428","0","1.68463","0.70467","-0.21001","","1302","17","0.09596"
"20450","Goat meat","Carne de animales de la especie caprina, fresca, refrigerada o congela","Agricultura"," I Animales vivos; productos animales","-1.76381","4453","Decreció / Decreció","1941706.41530","0.00000","0.00000","2.19173","-1.70566","0","1.01670","0.23431","-0.55098","","1302","17","0.09596"
"20500","Horse meat","Carne de animales de las especies caballar, asnal o mular, fresca, ref","Agricultura"," I Animales vivos; productos animales","-0.62320","3355","Creció / Creció","-55253555.09016","7625432.16667","755.52081","2.15605","-0.43252","0","","","","","1302","17","0.09596"
"20610","Bovine offal","Despojos comestibles de animales de la especie bovina, frescos o refri","Agricultura"," I Animales vivos; productos animales","-0.23061","2817","Creció / Creció","5279473.59563","91.44944","0.00409","1.42724","-0.15091","0","0.94583","0.62621","0.30261","","1302","17","0.09596"
"20621","Bovine tongue, frozen","Lenguas de bovinos, congeladas.","Agricultura"," I Animales vivos; productos animales","-0.57572","3284","Decreció / Decreció","-19122584.75683","1496.05339","0.18123","3.47479","-1.39660","0","2.09546","1.16223","0.27004","Oportunidades cercanas, Objetivos factibles","1302","17","0.09596"
"20622","Bovine livers, frozen","Higados de bovinos, congelados.","Agricultura"," I Animales vivos; productos animales","-0.66166","3399","Decreció / Decreció","-31033072.50546","10930.12301","1.65030","3.00954","-0.91000","0","","","","","1302","17","0.09596"
"20629","Bovine offal, frozen","Los demas despojos comestibles de bovinos, congelados.","Agricultura"," I Animales vivos; productos animales","-0.81558","3582","Creció mucho / Creció","-97090577.30874","3213.73305","0.05448","2.07716","-0.91267","0","1.18992","0.59681","0.00855","","1302","17","0.09596"
"20630","Swine offal","Despojos comestibles de porcinos, frescos o refrigerados.","Agricultura"," I Animales vivos; productos animales","1.56506","188","Creció / Creció","3180403.67486","0.00000","0.00000","-0.29846","1.42892","0","0.23337","0.58566","0.94474","","1302","17","0.09596"
